OWASA,Durham,Raleigh,Cary,Pittsboro,Chatham
-0.1716981165,1.4618199255000002,1.5968342199,1.1985689994,1.9129751185,1.9308607761
0.8354111502,2.1929385778,1.3286575875,0.3554346268,0.5636004535,0.9411076786
0.8464199551,0.5746821438,0.3698899476,0.9773829612,2.0245779966999997,0.2653207543
0.3732482598,1.9933265738,-0.1357615528,0.0234636256,1.726573415,1.0506027828
0.4929593089,1.2811050076000001,0.6551932017000001,-0.0326774984,0.535931952,2.016100151
1.6053783191,1.3088967220999999,1.3012036456,0.4611714307,0.43331052200000003,0.1108845722
1.8918544038,-0.2332376866,1.8632425279,0.2687751405,1.1518582575,0.0302757327
-0.08558343289999999,1.9749584031,-0.0795071164,1.1571325293999999,1.5211335754,1.7460897432
0.45934961659999995,0.9047564001999999,1.6868833953,0.6726291181,0.8531042326999999,1.6854160069
1.7547203943,2.01042606,1.4361706084,2.2248678758000002,0.9883911159000001,0.5741015921
0.6797960245999999,1.1179238644,-0.19279360539999998,0.9242288581,1.0108786288,-0.04939802769999999
1.1711695806,0.6329642097,2.1209066384999997,1.6792198257,1.5025743465999999,1.0795397609000001
1.3033937926999999,0.3475205167,-0.0553883074,-0.22528334100000003,1.8909368063,0.40631372299999996
1.8582812474000001,1.7959395009999999,0.8839311033,0.8609824559,1.5459874116999999,0.5248326893
0.154087125,0.8574849518000001,1.5749373163,1.6669380638,0.7924089245999999,0.8021146976000001
0.1422716565,-0.0900614225,0.010993578799999999,2.0895645617,2.1328209858,2.0974706536000003
1.5713488530000002,1.0305126869,2.0965136556,0.5679156861,1.1795224724,0.3274925754
0.9676047718,0.3550790818,1.9277865912999999,2.0355887403,0.4416351638,0.5867334724000001
-0.235603683,0.0253618721,0.1386593548,1.7673394097,2.0256483978,1.3144459591
1.038383132,-0.0702622557,1.5216176559999999,0.43935963969999997,1.2629698706,0.8593478608
0.5942043434000001,1.19751399,2.1005124263,0.5350667712,0.4016393267,1.3052111142
1.2951544711,0.9480653897,1.8354027887,1.9121690181,0.0681492841,1.751921751
2.184392786,-0.13130163960000002,2.0752227675999997,1.9401198513999998,1.4956480909,0.3064037753
1.2708194334,0.2878181273,0.6375938547,2.1609828883,-0.04437103,1.4948951673
1.9858621719999998,2.0756431319999997,2.214151213,1.8402564847999998,1.0930450097,0.1534673193
0.6534130226,0.5892668001,0.9495792806000001,1.5314966025,-0.0165550003,-0.2216812632
0.17140887789999998,0.1658568491,2.1537023251,-0.0018959385999999998,0.7317981988,0.7688696187
-0.0679359324,1.3565837199000002,1.9868807262000001,0.3668171816,1.674045995,2.1749447842
1.743186668,1.6253573047,0.5777334915,0.9474732126000001,-0.0584063821,1.0952431620999998
1.4949087563999999,-0.1050160614,1.5094235568,1.0158537753,1.7669980114,0.1451979084
0.7919232083,2.1764207479,1.0088916245000001,1.0803416277,0.3233713488,0.7475594266
1.4002190094999998,0.6217166582,0.9062591587000001,1.9314634787,0.871769837,1.9620021311000002
0.7015666334999999,1.7544925191999998,1.2752450106,0.6327375503,1.6136339082,0.2232630294
1.5797037179,2.1162140557,0.7960818548,0.6118459668,-0.1980691432,1.5237226381
2.0821151463,0.874146402,1.6644041366999998,0.8763377301999999,0.8077212401,0.07408820940000001
1.8061744265000002,0.3768260604,0.1560496823,0.1380427598,1.2036211466,0.8869751341
1.9962219325,-0.1867828466,1.5872755280000002,1.2056770165000001,1.5944998672,1.8643656723
-0.0325855559,1.8614597477000001,-0.18319331670000003,1.3523626736,-0.1692818385,1.4566508140999999
0.5740473967,1.4327075122,0.41706078090000004,2.0523362072999998,1.1370086820999998,0.868283715
1.723847744,2.031822744,1.0399727509,0.15265460990000002,2.1565549569,1.1487588062
0.6472896772,2.2082504431,0.5321326653,0.57980609,0.34108829539999996,2.1147497378
0.09462023230000001,0.2087416712,1.4016638799,1.5134801109,1.9527404547999998,0.1860203445
1.0112644658,0.052043390099999996,-0.215855985,1.1456038532,1.1121697876999999,1.4783209274
0.2421512932,0.6983491637,1.3775196936,1.9658744133000001,0.1764790671,2.0043720955
1.3488146531999998,1.5686823555,0.2866735185,0.6384398545000001,0.5000250916,2.0313436043
1.7959107727,0.185299506,1.9715640490000002,1.2864982423,1.0704621841,1.4721929739
1.429355035,1.8405063135,1.8773307896,0.25208030670000003,1.0534380123,-0.0328988357
1.2370766099,2.2303409267,1.0909188245,1.4288657479,-0.12459297949999999,1.2220987632
0.1058199252,0.5479210743,1.0519722977,0.8099637197,1.8036610828,0.2507986942
0.7424835242,-0.2486119134,0.20111216920000002,1.8570961776,0.3817824228,2.1475878081
-0.0534050698,0.4313580143,1.6417356137999999,1.4194451569,-0.2228681321,-0.0528892575
1.9308854909,-0.21425756989999997,0.4069090521,2.2013688556999997,0.35923406490000004,1.2528956651
-0.044104922000000005,1.8632807981,0.134482928,-0.1800207768,1.2131177075,2.0550962079
-0.2139352979,0.43774742200000005,1.8600058469999998,-0.1268194728,1.6262029616999998,0.6820308204000001
1.3656719928,1.0905651393,1.837973285,0.8267699862000001,0.7226270404999999,0.0598284361
0.8574421718,0.4911008907,-0.0887753049,0.49454052950000005,0.6432031071000001,0.7523525356
-0.1225364382,0.21355762309999998,0.2907039829,1.8000679141,1.0143468581,2.1994762646
1.7680666337,2.1417273387,1.5269543075,1.6062276695,1.123549983,-0.1631254651
1.6996195414,1.7450222482,0.0609087097,0.337827672,1.3645633021999999,1.6943107622
-0.198973998,0.460875593,0.8163918042,0.10925501439999999,1.9427837581,1.9016821706
0.40779331939999997,-0.0159218899,0.3902534196,1.3326296382,1.6472756333,0.7340835981
0.7695710098999999,-0.17003347359999998,1.4570920793000002,1.266002893,1.2813151626000001,2.2497038761000003
1.8266832593,1.1270189052,0.2667186104,1.3879520022,1.0868527703,0.6445689242
1.6509729854,0.9794527117,2.0412090489,0.2156211313,0.9727833109999999,1.8909055044
2.054973874,0.7254155145000001,1.6104795536,0.0938822541,0.5619079912,0.3985346344
0.6747275528,0.3626512188,0.1160058562,2.0017842638,1.560245849,1.5873359138999998
2.1736707733,0.4704496412,0.9687771254,-0.0802106546,1.3054010266,-0.21211786870000002
1.3843712052000001,0.5165063508,0.9959507023999999,1.2328943459000001,1.4669588137,1.5110682449000001
-0.20699158609999999,1.4409545807,0.5240715429999999,1.5589007472999998,1.8137575816999998,1.3566568183
0.0100817458,1.8798242096000002,0.44547541799999996,1.1663497776,0.0157100589,1.8825991927
2.0480545919,0.1120814112,0.1940685684,0.6177434016,1.3531031615,1.7342088966999998
0.229931418,1.2472166637,0.2362723343,2.0682252789,1.4435826831999998,0.0806306011
1.6325252568000002,1.0833252219,0.34027273210000003,0.7449813739,1.4114950484,0.47324014200000003
1.0994256276,1.2547679687,1.9155623678,-0.21032232329999997,0.22267446149999998,1.6743592978
-0.1264165512,0.39205639020000005,0.24020131449999998,0.5937285119,0.7588377228000001,0.0171415507
2.2325149956,2.0475002729,0.7162559539,0.5381592332999999,1.2398041954,0.6734548634
