0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3
0,0,1,2,2,3,4,7,7,8,9,9,9,9,9,9,12
0,0,1,5,8,10,16,21,24,24,25,25,25,25,25,25,34
0,0,2,4,7,18,25,30,40,42,43,44,44,44,44,44,69
2,2,3,7,11,22,48,67,78,82,82,83,84,84,85,85,129
0,3,4,7,11,31,50,64,75,85,89,93,93,93,93,93,178
0,0,0,3,8,22,40,63,80,89,93,93,94,95,95,95,188
0,0,1,4,13,22,35,58,67,80,82,84,86,86,86,86,181
0,0,0,1,4,16,25,39,47,52,54,54,54,54,54,54,140
0,0,0,0,1,5,13,17,20,23,23,23,23,23,23,23,77
0,0,0,0,1,4,4,5,5,5,5,5,5,5,5,5,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
