0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,5,8,8,8,8,8,8,8,8,8,11
0,2,3,3,3,8,10,12,12,12,12,12,12,12,12,12,20
1,3,3,4,12,20,32,46,53,54,54,57,58,58,58,58,70
0,3,3,6,10,24,40,55,74,84,88,91,91,91,91,91,149
2,2,2,5,17,27,54,63,76,85,86,88,89,89,89,89,180
0,0,1,3,12,20,36,54,82,91,94,95,95,95,95,95,184
0,1,1,5,6,19,36,59,74,81,82,83,83,83,83,83,178
0,0,0,0,6,12,23,34,43,47,49,49,49,49,49,49,132
0,0,0,0,5,5,9,21,24,26,27,27,27,27,27,27,76
0,0,0,0,1,3,5,5,6,6,6,6,6,6,6,6,33
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
